,#,club,Expenditure,Arrivals,Income,Departures,Balance,Year
0,1,Manchester United,211.32,15,73.06,12,-138.26,2019
1,2,Arsenal,144.36,20,48.29,22,-96.08,2019
2,3,Manchester City,143.57,35,63.9,24,-79.67,2019
3,4,Aston Villa,143.55,30,2.7,26,-140.85,2019
4,5,Tottenham,133.65,16,58.05,15,-75.6,2019
5,6,Everton,108.9,27,79.02,23,-29.88,2019
6,7,West Ham,107.82,15,49.71,18,-58.11,2019
7,8,Wolverhampton Wanderers,105.03,29,21.69,24,-83.34,2019
8,9,Leicester,93.87,18,79.65,14,-14.22,2019
9,10,Brighton,67.45,36,7.65,30,-59.8,2019
10,11,Newcastle United,65.61,17,32.08,15,-33.53,2019
11,12,Sheffield United,63.45,26,315.0,22,-63.14,2019
12,13,Southampton,55.35,21,24.57,19,-30.78,2019
13,14,Bournemouth,49.42,17,31.16,14,-18.26,2019
14,15,Watford,43.65,31,22.86,21,-20.79,2019
15,16,Chelsea,40.5,35,141.54,28,101.04,2019
16,17,Burnley,21.47,10,12.2,10,-9.27,2019
17,18,Liverpool,9.36,20,40.05,15,30.69,2019
18,19,Norwich,7.93,28,1.98,29,-5.95,2019
19,20,Crystal Palace,6.84,15,49.84,15,43.0,2019
